facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1001050,OTTUMWA,IA,2021,"C,D",4444234.9,1173.5,22472.18
1002609,OTTUMWA,IA,2021,"C,HH",39.3,0.0,0.0
1000826,STERLINGTON,LA,2021,"C,D",296893.8,137.75,166.88
1007075,APPLETON,WI,2021,"C,HH",230.5,0.0,0.0
1007901,LOUISVILLE,KY,2021,"C,HH",0.0,0.0,0.0
1010763,Calvert,AL,2021,"C,Q",89212.2,42.0,50.064
1001978,Brockport,PA,2021,"C,N",18170.7,8.5,10.132
1001961,MUSKOGEE,OK,2021,"C,N",14718.5,7.0,8.344
1010899,Aiken,SC,2021,C,28995.3,13.75,16.39
1003520,Amarillo,TX,2021,"C,N",25131.6,11.75,14.006
1004852,JACKSON,TN,2021,"C,N",36080.7,17.0,20.264
1002129,FEURA BUSH,NY,2021,"C,N",17921.0,8.5,10.132
1002221,FAIRBURN,GA,2021,"C,N",25843.8,12.25,14.602
1013294,Joplin,MO,2021,C,38577.4,93.25,161.814
1002143,KANSAS CITY,KS,2021,"C,N",37566.4,17.75,21.158
1002145,NEWARK,OH,2021,"C,N",6533.4,3.0,3.576
1002019,WAXAHACHIE,TX,2021,"C,N",7686.9,3.5,4.172
1007952,Starr,SC,2021,"C,N",19894.4,9.25,11.026
1001987,AUBURN,NY,2021,"C,N",23822.7,11.25,13.41
1001975,Windsor,CO,2021,"C,N",28894.1,13.5,16.092
1002226,ZANESVILLE,OH,2021,"C,N",23822.4,11.25,13.41
1001980,BROCKWAY,PA,2021,"C,N",16845.1,8.0,9.536
1002007,TRACY,CA,2021,"C,N",11521.0,5.5,6.556
1002911,LEXINGTON,NC,2021,"C,N",9870.0,4.75,5.662
1007499,WACO,TX,2021,"C,N",16833.4,8.0,9.536
1007823,VERNON,CA,2021,"C,N",21758.2,10.25,12.218
1006551,LAPEL,IN,2021,"C,N",19474.7,9.25,11.026
1002189,STREATOR,IL,2021,"C,N",17180.1,8.0,9.536
1006053,PORTLAND,OR,2021,"C,N",0.0,0.0,0.0
1006050,TOANO,VA,2021,"C,N",16162.5,7.5,8.94
1002929,RINGGOLD,VA,2021,"C,N",28806.1,13.5,16.092
1003930,OWENSBORO,KY,2021,C,21877.7,10.25,12.218
1002586,Owingsville,KY,2021,"C,W",0.0,0.0,0.0
1013726,Goldsmith,TX,2021,"C,W",9832.2,4.75,5.662
1013730,South Plains,TX,2021,"C,W",2021.1,1.0,1.192
1004816,HALLTOWN,WV,2021,C,13717.0,6.5,7.748
1006578,PORT ARTHUR,TX,2021,C,41886.3,19.75,23.542
1003823,Baton Rouge,LA,2021,C,0.8,0.0,0.0
1004521,KREMLIN,OK,2021,C,9113.7,4.25,4.768
1013708,Factoryville,PA,2021,C,3997.3,2.0,2.384
1008158,Oxford,CT,2021,"C,W",131.6,0.0,0.0
1001712,DEER PARK,TX,2021,C,42047.1,19.75,23.542
1001711,DEER PARK,TX,2021,"C,X",76978.0,36.25,43.21
1001713,LA PORTE,TX,2021,"C,X",259140.3,122.0,145.424
1001710,PASADENA,TX,2021,C,103436.4,48.75,58.11
1005815,OZONA,TX,2021,"C,W",56009.1,26.5,31.588
1002422,OZONA,TX,2021,"C,NN,W",50182.6,23.75,28.31
1001489,SAINT PETERSBURG,FL,2021,"C,D",575361.7,266.75,321.84
1005726,PAMPA,TX,2021,"C,W",6734.1,3.25,3.874
1007943,SODA SPRINGS,ID,2021,C,48145.3,22.75,27.118
1004749,Rock Springs,WY,2021,C,162917.6,530.0,917.84
1013348,Newark,CA,2021,C,39568.7,18.75,22.35
1006108,North LAS VEGAS,NV,2021,C,18591.2,8.75,10.43
1006104,WOODLAND,CA,2021,C,36796.1,17.25,20.562
1003280,VALDOSTA,GA,2021,"AA,C,TT",5051.0,414.25,2457.308
1006367,FILER CITY,MI,2021,"AA,C,II",21301.68,242.25,956.878
1007867,COUNCE,TN,2021,"AA,C,TT",121054.0,57.0,67.944
1003884,TOMAHAWK,WI,2021,"AA,C,II,TT",111064.6,52.25,62.282
1001585,Louisville,KY,2021,"C,D",23036.6,10.75,11.92
1002545,PAINESVILLE,OH,2021,C,1590.0,0.5,5.066
1004803,Kapolei,HI,2021,"C,HH",10.8,0.0,0.0
